사고접수일,出現回数,ランキング
2022-11,19833,1
2022-05,19353,2
2022-06,17623,3
2022-12,16342,4
2022-04,16322,5
2022-10,15811,6
2022-09,14712,7
2022-07,12823,8
2021-06,12764,9
2021-11,12458,10
2021-12,11970,11
2021-04,10577,12
2021-10,9954,13
2020-11,9627,14
2021-05,8717,15
2021-09,8706,16
2021-07,6987,17
2022-03,6791,18
2021-03,6422,19
2020-07,6357,20
2020-10,5461,21
2022-08,5336,22
2020-12,4290,23
2020-06,3707,24
2020-01,3183,25
2020-09,2911,26
2022-01,2879,27
2020-02,2496,28
2020-08,2425,29
2021-08,2416,30
2022-02,1306,31
2021-01,1186,32
2021-02,990,33
2020-05,591,34
2020-03,454,35
2020-04,438,36
2023-01,117,37
2023-02,53,38
2023-03,38,39
